url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,isKnown,answer
https://www.facebook.com/people/Yui-Takeshita/100001611015714,61,16,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.245901639344262,0.0,0,0,0,0,0,2,1,0,0,1,0,6,11,3,3,3,15,8,15,7.33333333333333,5.5,8.25,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/opalhilldrive,38,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,5,3,3,13,13,8,13,8.0,5.5,13.0,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,81,16,1,2,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.197530864197531,0.0,0,0,0,0,0,2,0,0,0,0,0,10,7,3,3,3,12,8,12,6.0,5.5,6.125,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/Liberman-Broadcasting/106123536086051?sk=info,76,16,1,2,1,0,1,0,0,1,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.197368421052632,0.0,0,0,0,0,0,2,1,0,0,1,0,8,4,2,3,2,15,8,15,7.125,5.5,7.66666666666667,0,1,0,0,0,0,78,0.0897435897435897,0.91025641025641,0.0,9,0.0,0.0,0.0,0.0,0,1,6.06060606060606,0,0.0,0.0,0,0,0,100.0,0,0,0,0,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/Sergio-Vitanza-Belgrave/179652016207,67,16,1,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.17910447761194,0.0,0,0,0,0,0,2,0,0,0,1,0,7,4,3,3,5,12,8,12,7.0,5.5,7.6,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/TheLateLateShowwithCraigFerguson?filter=3,66,16,0,2,0,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0151515151515152,0.0,0,0,0,0,0,2,0,0,0,0,0,5,5,1,3,1,32,8,32,10.0,5.5,13.0,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/London-Ice-Dawgs-Youth-Hockey-Club/221260881220211,81,16,1,2,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.185185185185185,0.0,0,0,0,0,0,2,0,0,0,1,0,10,8,3,3,3,15,8,15,6.0,5.5,6.125,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/people/Randall-Moss/1118160021,55,16,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.181818181818182,0.0,0,0,0,0,0,2,1,0,0,0,0,6,10,3,3,4,10,8,10,6.33333333333333,5.5,6.75,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/people/Chester-Brown/1321855909,56,16,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.178571428571429,0.0,0,0,0,0,0,2,1,0,0,0,0,6,5,3,3,5,10,8,10,6.5,5.5,7.0,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/CFMB/107472729281906,51,16,1,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.294117647058824,0.0,0,0,0,0,0,2,0,0,0,0,0,5,4,3,3,4,15,8,15,7.0,5.5,8.0,0,1,0,0,0,0,115,0.0347826086956522,0.965217391304348,0.0,11,0.0,0.0,0.0,0.0,0,1,2.0,0,0.0,100.0,0,0,0,100.0,0,0,0,0,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/WilburWatson,37,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,1,0,3,4,3,3,12,12,8,12,7.66666666666667,5.5,12.0,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/demerson1,34,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0294117647058824,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,9,9,8,9,6.66666666666667,5.5,9.0,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/SkyeBlueC,34,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,9,9,8,9,6.66666666666667,5.5,9.0,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/PonyUpRescue,37,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,3,4,3,3,12,12,8,12,7.66666666666667,5.5,12.0,0,1,0,0,0,0,190,0.278947368421053,0.721052631578947,0.0,27,0.0,0.0,0.0,0.0,0,1,12.1212121212121,0,0.0,100.0,0,0,0,100.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/Queens-Park-Rangers-FC/32792126803,65,16,1,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.169230769230769,0.0,0,0,0,0,0,2,0,0,0,0,0,8,5,2,3,2,11,8,11,5.75,5.5,5.83333333333333,0,1,0,0,0,0,84,0.333333333333333,0.666666666666667,0.0,8,0.0,0.0,0.0,0.0,0,1,4.16666666666667,0,0.0,0.0,0,0,0,60.0,0,0,0,0,1,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/people/ConceptElite-St-Dorothee/100000964403664,72,16,1,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.208333333333333,0.0,0,0,0,0,0,2,0,0,0,1,0,7,17,2,3,2,15,8,15,7.71428571428571,5.5,8.6,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/pages/Melanie-Morgan/150570901699938,61,16,1,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0.245901639344262,0.0,0,0,0,0,0,2,1,0,0,1,0,6,7,3,3,5,15,8,15,7.33333333333333,5.5,8.25,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
https://www.facebook.com/andrews.megan,38,16,0,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,5,8,8,7,5.75,5.5,6.0,0,1,0,0,0,0,43,0.232558139534884,0.767441860465116,0.0,1,0.0,0.0,0.0,0.0,0,1,20.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,-1,0,0,1,-1,1,1
